,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
57122,norgip1,Northern Giant-Petrel,Macronectes halli,L18018369,30 km east of Cape Horn,2022-03-05,5.0,-55.9495626,-67.0704149,True,-1,Magallanes,2022
57129,plsfin1,Plumbeous Sierra Finch,Geospizopsis unicolor,L18439329,Avenida Simón Bolívar Ajata Arica y Parinacota CL (-18.236 -69.182),2022-04-09,1.0,-18.2361889,-69.1820697,True,-1,Arica y Parinacota,2022
57147,giacoo1,Giant Coot,Fulica gigantea,L724695,Vados del Putana,2022-05-10,10.0,-22.533805,-68.0335236,False,-1,Antofagasta,2022
57158,turvul,Turkey Vulture,Cathartes aura,L5838048,CL-Viña del Mar-Calle Lampa- -330283x-715475,2022-12-11,1.0,-33.028328,-71.547497,True,-1,Valparaíso,2022
57160,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L3964164,Quenuir,2022-04-10,2.0,-41.5688391,-73.6987352,False,-1,Los Lagos,2022
57168,sooshe,Sooty Shearwater,Ardenna grisea,L17955121,CL (-54.766 -71.669),2022-02-28,7.0,-54.7661104,-71.6689066,True,-1,Magallanes,2022
57177,rutpla1,Rufous-tailed Plantcutter,Phytotoma rara,L15495286,Plazoleta Leonidas Vial,2022-11-03,2.0,-33.4946904,-70.6540876,False,-1,Región Metropolitana de Santiago,2022
57185,baytan3,Blue-and-yellow Tanager,Rauenia bonariensis,L1151436,Socoroma,2022-08-11,2.0,-18.2642703,-69.6022403,False,-1,Arica y Parinacota,2022
57194,lesrhe2,Lesser Rhea,Rhea pennata,L18838849,Punta Arenas Magallanes y la Antártica Chilena CL (-52888 -70917),2022-05-02,7.0,-52.8877539,-70.916649,True,-1,Magallanes,2022
57204,perpel1,Peruvian Pelican,Pelecanus thagus,L7369024,CL-Viña del Mar-Marga Marga-Pte Ecuador- -330220-715594,2022-09-06,1.0,-33.02197,-71.5594,True,-1,Valparaíso,2022
57211,andcon1,Andean Condor,Vultur gryphus,L6057635,Camino a Farellones--Plazoleta Negra,2022-05-28,2.0,-33.3520484,-70.329296,False,-1,Región Metropolitana de Santiago,2022
57217,wrlrus1,Wren-like Rushbird,Phleocryptes melanops,L6528308,Río Copiapó--Puente María Isabel,2022-05-22,2.0,-27.3444558,-70.7774373,False,-1,Atacama,2022
57221,wwdfin1,Glacier Finch,Idiopsar speculifer,L572426,PN Lauca--Las Cuevas,2022-03-26,2.0,-18.1670566,-69.4337654,False,-1,Arica y Parinacota,2022
57223,diaplo1,Diademed Sandpiper-Plover,Phegornis mitchellii,L802007,Valle de las Termas del Plomo,2022-10-20,2.0,-33.6314865,-69.9248886,False,-1,Región Metropolitana de Santiago,2022
57229,chifla1,Chilean Flamingo,Phoenicopterus chilensis,L7691040,Puerto Natales--Costanera Sector Sur,2022-04-29,1.0,-51.7448025,-72.4896205,False,-1,Magallanes,2022
57233,barswa,Barn Swallow,Hirundo rustica,L1153126,Valle de Azapa--Tranque Sobraya,2022-10-18,5.0,-18.5752738,-70.0235939,False,-1,Arica y Parinacota,2022
57241,absfin1,Ash-breasted Sierra Finch,Geospizopsis plebejus,L17864131,Parque Nacional Lauca Putre CL-Arica y Parinacota -18.17036 -69.43007,2022-02-23,2.0,-18.170357,-69.430069,True,-1,Arica y Parinacota,2022
